TicketNumber,Latitude,Longitude,Zip,ClassificationType,Date,Time,Hour,CensusTract_2010,CensusBlock_2010,CountyName_2010,GEOID_2010,CensusTract_2010_ID,CensusTract_2010_NAME,CensusBlock_2010_ID,CensusBlock_2010_NAME
ML20000253,40.8243,-73.94746,10031,P,01/06/2020,12:08 PM,12 PM,227,1000,New York County,360610227001000,22700,Census Tract 227,1000,Block 1000
ML20000255,40.71262,-73.99041,10002,P,01/06/2020,01:32 PM,01 PM,6,1002,New York County,360610006001002,600,Census Tract 6,1002,Block 1002
ML20000263,40.72277,-73.97672,10009,P,01/06/2020,03:34 PM,03 PM,26.02,1002,New York County,360610026021002,2602,Census Tract 26.02,1002,Block 1002
ML20000266,40.79277,-73.97133,10025,P,01/06/2020,04:28 PM,04 PM,183,7001,New York County,360610183007001,18300,Census Tract 183,7001,Block 7001
ML20000274,40.71841,-73.99118,10002,P,01/06/2020,07:43 PM,07 PM,18,6000,New York County,360610018006000,1800,Census Tract 18,6000,Block 6000
QL20000119,40.7355,-73.79749,11365,P,01/06/2020,09:57 AM,09 AM,1223,2003,Queens County,360811223002003,122300,Census Tract 1223,2003,Block 2003
QL20000120,40.70184,-73.75249,11412,M,01/06/2020,10:12 AM,10 AM,518,2001,Queens County,360810518002001,51800,Census Tract 518,2001,Block 2001
WL20000192,41.26101,-73.91843,10567,M,01/06/2020,08:32 AM,08 AM,146.06,1011,Westchester County,361190146061011,14606,Census Tract 146.06,1011,Block 1011
WL20000195,41.13997,-73.77855,10570,M,01/06/2020,09:17 AM,09 AM,122,4006,Westchester County,361190122004006,12200,Census Tract 122,4006,Block 4006
WL20000196,41.14289,-73.68193,10504,M,01/06/2020,09:28 AM,09 AM,123.04,1012,Westchester County,361190123041012,12304,Census Tract 123.04,1012,Block 1012
WL20000197,40.91974,-73.80836,10803,M,01/06/2020,09:31 AM,09 AM,53,1012,Westchester County,361190053001012,5300,Census Tract 53,1012,Block 1012
WL20000205,40.91314,-73.90096,10705,M,01/06/2020,10:19 AM,10 AM,2.03,2008,Westchester County,361190002032008,203,Census Tract 2.03,2008,Block 2008
WL20000206,41.1898,-73.87133,10562,P,01/06/2020,10:41 AM,10 AM,137,1000,Westchester County,361190137001000,13700,Census Tract 137,1000,Block 1000
WL20000208,40.96522,-73.73226,10543,P,01/06/2020,11:04 AM,11 AM,73,2000,Westchester County,361190073002000,7300,Census Tract 73,2000,Block 2000
WL20000209,41.15001,-73.66764,10504,M,01/06/2020,11:35 AM,11 AM,123.04,1002,Westchester County,361190123041002,12304,Census Tract 123.04,1002,Block 1002
WL20000211,41.07465,-73.77472,10595,P,01/06/2020,11:49 AM,11 AM,119.02,2034,Westchester County,361190119022034,11902,Census Tract 119.02,2034,Block 2034
WL20000217,41.18998,-73.86916,10562,P,01/06/2020,12:54 PM,12 PM,137,1011,Westchester County,361190137001011,13700,Census Tract 137,1011,Block 1011
WL20000219,41.1325,-73.79411,10570,M,01/06/2020,01:04 PM,01 PM,122,5028,Westchester County,361190122005028,12200,Census Tract 122,5028,Block 5028
WL20000221,41.28607,-73.92334,10566,M,01/06/2020,01:23 PM,01 PM,141,1012,Westchester County,361190141001012,14100,Census Tract 141,1012,Block 1012
WL20000226,40.96351,-73.80215,10709,M,01/06/2020,02:15 PM,02 PM,50.02,3013,Westchester County,361190050023013,5002,Census Tract 50.02,3013,Block 3013
WL20000229,41.08779,-73.86187,10591,M,01/06/2020,02:58 PM,02 PM,116,3000,Westchester County,361190116003000,11600,Census Tract 116,3000,Block 3000
WL20000230,40.92319,-73.76329,10538,P,01/06/2020,03:11 PM,03 PM,70,1018,Westchester County,361190070001018,7000,Census Tract 70,1018,Block 1018
WL20000231,41.07662,-73.77695,10595,P,01/06/2020,03:42 PM,03 PM,119.02,2016,Westchester County,361190119022016,11902,Census Tract 119.02,2016,Block 2016
WL20000232,41.20668,-73.8929,10520,M,01/06/2020,03:44 PM,03 PM,139,3007,Westchester County,361190139003007,13900,Census Tract 139,3007,Block 3007
WL20000233,41.21449,-73.90148,10520,M,01/06/2020,04:11 PM,04 PM,139,4000,Westchester County,361190139004000,13900,Census Tract 139,4000,Block 4000
WL20000234,40.98962,-73.72138,10528,M,01/06/2020,06:45 PM,06 PM,85,1030,Westchester County,361190085001030,8500,Census Tract 85,1030,Block 1030
XL20000264,40.83082,-73.8172,10465,P,01/06/2020,03:23 PM,03 PM,160,1009,Bronx County,360050160001009,16000,Census Tract 160,1009,Block 1009
ML20000283,40.72939,-74.00102,10012,P,01/07/2020,06:52 AM,06 AM,65,3001,New York County,360610065003001,6500,Census Tract 65,3001,Block 3001
ML20000308,40.71393,-73.99181,10002,M,01/07/2020,02:43 PM,02 PM,6,1000,New York County,360610006001000,600,Census Tract 6,1000,Block 1000
ML20000312,40.81058,-73.96217,10027,M,01/07/2020,02:56 PM,02 PM,205,1007,New York County,360610205001007,20500,Census Tract 205,1007,Block 1007
ML20000318,40.71684,-74.002,10013,P,01/07/2020,04:31 PM,04 PM,31,1007,New York County,360610031001007,3100,Census Tract 31,1007,Block 1007
ML20000332,40.76657,-73.99042,10019,M,01/07/2020,09:38 PM,09 PM,135,2003,New York County,360610135002003,13500,Census Tract 135,2003,Block 2003
QL20000159,40.75741,-73.94517,11101,M,01/07/2020,09:07 AM,09 AM,85,2005,Queens County,360810085002005,8500,Census Tract 85,2005,Block 2005
QL20000161,40.71546,-73.83234,11375,P,01/07/2020,09:29 AM,09 AM,757.01,3002,Queens County,360810757013002,75701,Census Tract 757.01,3002,Block 3002
QL20000163,40.76649,-73.83341,11354,P,01/07/2020,10:13 AM,10 AM,869,2021,Queens County,360810869002021,86900,Census Tract 869,2021,Block 2021
QL20000166,40.75447,-73.76469,11364,M,01/07/2020,10:19 AM,10 AM,1441,4002,Queens County,360811441004002,144100,Census Tract 1441,4002,Block 4002
QL20000178,40.75377,-73.91858,11101,P,01/07/2020,11:34 AM,11 AM,159,3001,Queens County,360810159003001,15900,Census Tract 159,3001,Block 3001
QL20000186,40.76097,-73.76438,11361,M,01/07/2020,01:27 PM,01 PM,1471,2004,Queens County,360811471002004,147100,Census Tract 1471,2004,Block 2004
QL20000196,40.64463,-73.77737,11430,P,01/07/2020,04:56 PM,04 PM,716,1040,Queens County,360810716001040,71600,Census Tract 716,1040,Block 1040
WL20000256,41.12061,-73.70906,10504,P,01/07/2020,08:35 AM,08 AM,123.03,3036,Westchester County,361190123033036,12303,Census Tract 123.03,3036,Block 3036
WL20000257,41.18135,-73.85912,10562,P,01/07/2020,08:47 AM,08 AM,137,1039,Westchester County,361190137001039,13700,Census Tract 137,1039,Block 1039
WL20000260,41.04609,-73.81998,10607,P,01/07/2020,09:38 AM,09 AM,111.01,3001,Westchester County,361190111013001,11101,Census Tract 111.01,3001,Block 3001
WL20000262,40.99319,-73.78588,10583,M,01/07/2020,09:44 AM,09 AM,99,3006,Westchester County,361190099003006,9900,Census Tract 99,3006,Block 3006
WL20000263,40.89268,-73.81401,10803,P,01/07/2020,09:46 AM,09 AM,55,4007,Westchester County,361190055004007,5500,Census Tract 55,4007,Block 4007
WL20000264,40.99319,-73.78588,10583,M,01/07/2020,09:46 AM,09 AM,99,3006,Westchester County,361190099003006,9900,Census Tract 99,3006,Block 3006
WL20000265,40.945,-73.87767,10701,P,01/07/2020,09:56 AM,09 AM,16,4009,Westchester County,361190016004009,1600,Census Tract 16,4009,Block 4009
WL20000266,41.12051,-73.76932,10594,M,01/07/2020,10:02 AM,10 AM,121.02,3024,Westchester County,361190121023024,12102,Census Tract 121.02,3024,Block 3024
WL20000268,40.92716,-73.79278,10801,M,01/07/2020,10:21 AM,10 AM,66,3004,Westchester County,361190066003004,6600,Census Tract 66,3004,Block 3004
WL20000275,41.0902,-73.81182,10532,M,01/07/2020,11:35 AM,11 AM,9810,1016,Westchester County,361199810001016,981000,Census Tract 9810,1016,Block 1016
WL20000276,41.29494,-73.91543,10566,M,01/07/2020,11:40 AM,11 AM,144,2008,Westchester County,361190144002008,14400,Census Tract 144,2008,Block 2008
WL20000285,41.03712,-73.85972,10533,P,01/07/2020,01:48 PM,01 PM,113,1021,Westchester County,361190113001021,11300,Census Tract 113,1021,Block 1021
WL20000298,41.00582,-73.73206,10605,M,01/07/2020,06:12 PM,06 PM,97.03,3002,Westchester County,361190097033002,9703,Census Tract 97.03,3002,Block 3002
XL20000296,40.8232,-73.80872,10465,M,01/07/2020,11:55 AM,11 AM,138,1024,Bronx County,360050138001024,13800,Census Tract 138,1024,Block 1024
XL20000297,40.85471,-73.89513,10457,P,01/07/2020,12:13 PM,12 PM,385,4003,Bronx County,360050385004003,38500,Census Tract 385,4003,Block 4003
XL20000298,40.85779,-73.90676,10453,P,01/07/2020,12:24 PM,12 PM,251,5001,Bronx County,360050251005001,25100,Census Tract 251,5001,Block 5001
XL20000322,40.84438,-73.83463,10461,P,01/07/2020,05:53 PM,05 PM,266.02,3003,Bronx County,360050266023003,26602,Census Tract 266.02,3003,Block 3003
ML20000340,40.72012,-73.99923,10013,P,01/08/2020,08:27 AM,08 AM,45,1009,New York County,360610045001009,4500,Census Tract 45,1009,Block 1009
ML20000357,40.73754,-74.0057,10014,M,01/08/2020,11:16 AM,11 AM,79,4006,New York County,360610079004006,7900,Census Tract 79,4006,Block 4006
ML20000372,40.70765,-74.0031,11201,M,01/08/2020,03:15 PM,03 PM,15.01,3009,New York County,360610015013009,1501,Census Tract 15.01,3009,Block 3009
ML20000377,40.7809,-73.95485,10128,P,01/08/2020,04:35 PM,04 PM,148.02,3000,New York County,360610148023000,14802,Census Tract 148.02,3000,Block 3000
ML20000385,40.75752,-73.97584,10022,M,01/08/2020,06:48 PM,06 PM,102,1012,New York County,360610102001012,10200,Census Tract 102,1012,Block 1012
QL20000204,40.76973,-73.83034,11354,M,01/08/2020,08:56 AM,08 AM,889.01,5000,Queens County,360810889015000,88901,Census Tract 889.01,5000,Block 5000
QL20000208,40.76598,-73.77224,11361,M,01/08/2020,09:30 AM,09 AM,1123,1009,Queens County,360811123001009,112300,Census Tract 1123,1009,Block 1009
QL20000213,40.73941,-73.92799,11101,P,01/08/2020,10:55 AM,10 AM,189,2006,Queens County,360810189002006,18900,Census Tract 189,2006,Block 2006
QL20000222,40.7533,-73.93403,11101,P,01/08/2020,01:15 PM,01 PM,31,2000,Queens County,360810031002000,3100,Census Tract 31,2000,Block 2000
WL20000306,41.20529,-73.87842,10520,M,01/08/2020,08:04 AM,08 AM,138,1008,Westchester County,361190138001008,13800,Census Tract 138,1008,Block 1008
WL20000308,41.21173,-73.87863,10520,M,01/08/2020,08:46 AM,08 AM,139,1005,Westchester County,361190139001005,13900,Census Tract 139,1005,Block 1005
WL20000311,41.19756,-73.88017,10520,M,01/08/2020,09:23 AM,09 AM,138,3017,Westchester County,361190138003017,13800,Census Tract 138,3017,Block 3017
WL20000313,40.96206,-73.72585,10543,P,01/08/2020,09:54 AM,09 AM,74.01,1004,Westchester County,361190074011004,7401,Census Tract 74.01,1004,Block 1004
WL20000314,41.14543,-73.67579,10504,M,01/08/2020,09:58 AM,09 AM,123.04,1013,Westchester County,361190123041013,12304,Census Tract 123.04,1013,Block 1013
WL20000317,41.21064,-73.87979,10520,M,01/08/2020,10:12 AM,10 AM,138,1002,Westchester County,361190138001002,13800,Census Tract 138,1002,Block 1002
WL20000318,41.04716,-73.78958,10607,M,01/08/2020,10:17 AM,10 AM,109.02,4025,Westchester County,361190109024025,10902,Census Tract 109.02,4025,Block 4025
WL20000325,41.14794,-73.67186,10504,M,01/08/2020,11:36 AM,11 AM,123.04,1015,Westchester County,361190123041015,12304,Census Tract 123.04,1015,Block 1015
WL20000327,41.21534,-73.90729,10520,M,01/08/2020,11:44 AM,11 AM,139,4024,Westchester County,361190139004024,13900,Census Tract 139,4024,Block 4024
WL20000328,40.95247,-73.7918,10804,M,01/08/2020,11:50 AM,11 AM,68.02,3049,Westchester County,361190068023049,6802,Census Tract 68.02,3049,Block 3049
WL20000329,40.9689,-73.79533,10583,M,01/08/2020,12:34 PM,12 PM,50.01,1033,Westchester County,361190050011033,5001,Census Tract 50.01,1033,Block 1033
WL20000331,40.96293,-73.84723,10710,M,01/08/2020,01:16 PM,01 PM,20,3003,Westchester County,361190020003003,2000,Census Tract 20,3003,Block 3003
WL20000332,40.96982,-73.71852,10528,P,01/08/2020,01:53 PM,01 PM,84.03,2034,Westchester County,361190084032034,8403,Census Tract 84.03,2034,Block 2034
WL20000335,40.95225,-73.79187,10804,P,01/08/2020,12:41 PM,12 PM,68.02,3049,Westchester County,361190068023049,6802,Census Tract 68.02,3049,Block 3049
WL20000340,40.9646,-73.80224,10583,M,01/08/2020,05:50 PM,05 PM,50.02,3001,Westchester County,361190050023001,5002,Census Tract 50.02,3001,Block 3001
XL20000241,40.81222,-73.85988,10473,P,01/06/2020,11:20 AM,11 AM,2,2003,Bronx County,360050002002003,200,Census Tract 2,2003,Block 2003
XL20000344,40.87038,-73.86242,10467,P,01/08/2020,10:56 AM,10 AM,340,1000,Bronx County,360050340001000,34000,Census Tract 340,1000,Block 1000
ML20000418,40.80147,-73.96046,10025,P,01/09/2020,12:57 PM,12 PM,193,4000,New York County,360610193004000,19300,Census Tract 193,4000,Block 4000
ML20000420,40.71907,-74.00144,10013,P,01/09/2020,01:12 PM,01 PM,31,1000,New York County,360610031001000,3100,Census Tract 31,1000,Block 1000
ML20000424,40.73103,-73.98592,10003,P,01/09/2020,04:12 PM,04 PM,40,1001,New York County,360610040001001,4000,Census Tract 40,1001,Block 1001
ML20000426,40.70863,-74.00938,10005,M,01/09/2020,06:24 PM,06 PM,15.02,1008,New York County,360610015021008,1502,Census Tract 15.02,1008,Block 1008
QL20000243,40.75697,-73.80161,11358,P,01/09/2020,09:27 AM,09 AM,1193,1006,Queens County,360811193001006,119300,Census Tract 1193,1006,Block 1006
QL20000247,40.76165,-73.81522,11355,P,01/09/2020,10:40 AM,10 AM,1167,1005,Queens County,360811167001005,116700,Census Tract 1167,1005,Block 1005
QL20000259,40.72822,-73.79484,11366,M,01/09/2020,11:48 AM,11 AM,1247,1010,Queens County,360811247001010,124700,Census Tract 1247,1010,Block 1010
QL20000274,40.7395,-73.92513,11104,P,01/09/2020,03:58 PM,03 PM,189,3004,Queens County,360810189003004,18900,Census Tract 189,3004,Block 3004
QL20000278,40.75589,-73.79377,11358,P,01/09/2020,04:53 PM,04 PM,1459,1002,Queens County,360811459001002,145900,Census Tract 1459,1002,Block 1002
WL20000360,41.23644,-73.7037,10507,M,01/09/2020,11:17 AM,11 AM,128.02,2006,Westchester County,361190128022006,12802,Census Tract 128.02,2006,Block 2006
WL20000362,40.95495,-73.71155,10580,M,01/09/2020,11:55 AM,11 AM,75,3014,Westchester County,361190075003014,7500,Census Tract 75,3014,Block 3014
WL20000363,40.93514,-73.89019,10701,P,01/09/2020,12:18 PM,12 PM,11.01,2000,Westchester County,361190011012000,1101,Census Tract 11.01,2000,Block 2000
WL20000369,40.99637,-73.82037,10583,P,01/09/2020,01:22 PM,01 PM,107.01,4015,Westchester County,361190107014015,10701,Census Tract 107.01,4015,Block 4015
WL20000373,41.17772,-73.86584,10562,M,01/09/2020,02:10 PM,02 PM,136,3021,Westchester County,361190136003021,13600,Census Tract 136,3021,Block 3021
WL20000374,40.95662,-73.89149,10701,M,01/09/2020,02:14 PM,02 PM,7.01,2011,Westchester County,361190007012011,701,Census Tract 7.01,2011,Block 2011
WL20000379,40.94526,-73.77759,10804,M,01/09/2020,02:55 PM,02 PM,67,3002,Westchester County,361190067003002,6700,Census Tract 67,3002,Block 3002
WL20000386,41.01746,-73.68628,10573,M,01/09/2020,04:13 PM,04 PM,83.02,4005,Westchester County,361190083024005,8302,Census Tract 83.02,4005,Block 4005
WL20000387,40.95517,-73.88171,10703,M,01/09/2020,04:24 PM,04 PM,8.01,3003,Westchester County,361190008013003,801,Census Tract 8.01,3003,Block 3003
WL20000389,41.04417,-73.74107,10604,M,01/09/2020,05:34 PM,05 PM,87,1014,Westchester County,361190087001014,8700,Census Tract 87,1014,Block 1014
WL20000393,40.91195,-73.88893,10705,P,01/09/2020,08:55 PM,08 PM,13.02,3000,Westchester County,361190013023000,1302,Census Tract 13.02,3000,Block 3000
WL20000395,40.98545,-73.82275,10583,M,01/09/2020,09:50 PM,09 PM,21.05,1006,Westchester County,361190021051006,2105,Census Tract 21.05,1006,Block 1006
XL19016774,40.87669,-73.85366,10469,P,12/26/2019,02:13 PM,02 PM,382,2005,Bronx County,360050382002005,38200,Census Tract 382,2005,Block 2005
XL20000404,40.84091,-73.9096,10457,P,01/09/2020,10:22 AM,10 AM,225,2001,Bronx County,360050225002001,22500,Census Tract 225,2001,Block 2001
XL20000405,40.8283,-73.89556,10459,P,01/09/2020,10:48 AM,10 AM,125,2004,Bronx County,360050125002004,12500,Census Tract 125,2004,Block 2004
XL20000409,40.81741,-73.81627,10465,P,01/09/2020,11:05 AM,11 AM,118,3005,Bronx County,360050118003005,11800,Census Tract 118,3005,Block 3005
XL20000438,40.83728,-73.92636,10452,M,01/09/2020,04:10 PM,04 PM,199,6001,Bronx County,360050199006001,19900,Census Tract 199,6001,Block 6001
XL20000447,40.86546,-73.85849,10469,M,01/09/2020,05:15 PM,05 PM,326,1002,Bronx County,360050326001002,32600,Census Tract 326,1002,Block 1002
XL20000458,40.83513,-73.9261,10452,P,01/09/2020,07:32 PM,07 PM,199,3001,Bronx County,360050199003001,19900,Census Tract 199,3001,Block 3001
ML20000549,40.71841,-74.00691,10013,M,01/12/2020,10:49 AM,10 AM,33,2007,New York County,360610033002007,3300,Census Tract 33,2007,Block 2007
ML20000551,40.80292,-73.93396,10035,P,01/12/2020,11:01 AM,11 AM,242,3006,New York County,360610242003006,24200,Census Tract 242,3006,Block 3006
ML20000561,40.70933,-74.00187,10038,P,01/12/2020,01:54 PM,01 PM,15.01,2003,New York County,360610015012003,1501,Census Tract 15.01,2003,Block 2003
ML20000571,40.81855,-73.9377,10037,P,01/12/2020,05:44 PM,05 PM,232,2001,New York County,360610232002001,23200,Census Tract 232,2001,Block 2001
ML20000573,40.78844,-73.94906,10029,M,01/12/2020,05:30 PM,05 PM,166,6000,New York County,360610166006000,16600,Census Tract 166,6000,Block 6000
ML20000591,40.71439,-73.98631,10002,P,01/13/2020,02:29 AM,02 AM,14.01,2002,New York County,360610014012002,1401,Census Tract 14.01,2002,Block 2002
QL20000376,40.75937,-73.79054,11358,M,01/12/2020,03:52 PM,03 PM,1175,4007,Queens County,360811175004007,117500,Census Tract 1175,4007,Block 4007
WL20000494,40.97877,-73.80396,10583,M,01/12/2020,07:56 AM,07 AM,50.01,2024,Westchester County,361190050012024,5001,Census Tract 50.01,2024,Block 2024
WL20000495,41.04879,-73.78921,10603,M,01/12/2020,09:06 AM,09 AM,109.02,4020,Westchester County,361190109024020,10902,Census Tract 109.02,4020,Block 4020
WL20000496,40.99355,-73.71708,10528,M,01/12/2020,09:51 AM,09 AM,85,1008,Westchester County,361190085001008,8500,Census Tract 85,1008,Block 1008
WL20000497,41.28641,-73.91784,10566,M,01/12/2020,10:37 AM,10 AM,145,3004,Westchester County,361190145003004,14500,Census Tract 145,3004,Block 3004
WL20000500,40.98918,-73.72203,10528,M,01/12/2020,12:04 PM,12 PM,85,1011,Westchester County,361190085001011,8500,Census Tract 85,1011,Block 1011
WL20000501,40.90503,-73.85855,10704,M,01/12/2020,12:53 PM,12 PM,15.02,1002,Westchester County,361190015021002,1502,Census Tract 15.02,1002,Block 1002
WL20000502,41.04236,-73.81807,10607,M,01/12/2020,01:12 PM,01 PM,111.01,3011,Westchester County,361190111013011,11101,Census Tract 111.01,3011,Block 3011
WL20000507,40.92407,-73.86905,10704,P,01/12/2020,02:31 PM,02 PM,14.01,3001,Westchester County,361190014013001,1401,Census Tract 14.01,3001,Block 3001
WL20000512,41.07062,-73.84577,10591,M,01/12/2020,07:11 PM,07 PM,114,4007,Westchester County,361190114004007,11400,Census Tract 114,4007,Block 4007
ML20000462,40.79296,-73.97689,10024,P,01/10/2020,11:44 AM,11 AM,179,1002,New York County,360610179001002,17900,Census Tract 179,1002,Block 1002
ML20000487,40.74842,-73.99999,10001,M,01/10/2020,06:03 PM,06 PM,93,6000,New York County,360610093006000,9300,Census Tract 93,6000,Block 6000
QL20000289,40.74896,-73.77028,11364,M,01/10/2020,08:45 AM,08 AM,1403,2006,Queens County,360811403002006,140300,Census Tract 1403,2006,Block 2006
QL20000290,40.7684,-73.93585,11106,M,01/10/2020,09:01 AM,09 AM,81,1008,Queens County,360810081001008,8100,Census Tract 81,1008,Block 1008
QL20000302,40.75034,-73.77191,11364,M,01/10/2020,11:16 AM,11 AM,1403,2000,Queens County,360811403002000,140300,Census Tract 1403,2000,Block 2000
QL20000303,40.75096,-73.82345,11355,M,01/10/2020,11:44 AM,11 AM,837,1000,Queens County,360810837001000,83700,Census Tract 837,1000,Block 1000
QL20000304,40.76261,-73.90611,11103,P,01/10/2020,11:46 AM,11 AM,145,1003,Queens County,360810145001003,14500,Census Tract 145,1003,Block 1003
QL20000312,40.74701,-73.89596,11377,M,01/10/2020,12:41 PM,12 PM,263,1005,Queens County,360810263001005,26300,Census Tract 263,1005,Block 1005
QL20000339,40.7618,-73.77571,11361,M,01/10/2020,05:26 PM,05 PM,1467,3000,Queens County,360811467003000,146700,Census Tract 1467,3000,Block 3000
QL20000347,40.75925,-73.79197,11358,P,01/10/2020,10:46 PM,10 PM,1175,4006,Queens County,360811175004006,117500,Census Tract 1175,4006,Block 4006
WL20000407,41.16364,-73.77689,10514,M,01/10/2020,09:21 AM,09 AM,131.04,4016,Westchester County,361190131044016,13104,Census Tract 131.04,4016,Block 4016
WL20000410,40.92032,-73.77092,10801,M,01/10/2020,09:40 AM,09 AM,59.02,2017,Westchester County,361190059022017,5902,Census Tract 59.02,2017,Block 2017
WL20000420,41.08195,-73.86932,10591,P,01/10/2020,11:08 AM,11 AM,116,3013,Westchester County,361190116003013,11600,Census Tract 116,3013,Block 3013
WL20000436,41.26164,-73.91933,10567,M,01/10/2020,12:48 PM,12 PM,146.06,1000,Westchester County,361190146061000,14606,Census Tract 146.06,1000,Block 1000
WL20000437,41.1608,-73.84778,10510,M,01/10/2020,01:06 PM,01 PM,132.02,2004,Westchester County,361190132022004,13202,Census Tract 132.02,2004,Block 2004
WL20000446,41.16142,-73.77596,10514,M,01/10/2020,03:42 PM,03 PM,131.04,4016,Westchester County,361190131044016,13104,Census Tract 131.04,4016,Block 4016
XL20000468,40.83457,-73.89123,10460,P,01/10/2020,09:11 AM,09 AM,155,2002,Bronx County,360050155002002,15500,Census Tract 155,2002,Block 2002
XL20000471,40.83949,-73.91777,10452,P,01/10/2020,09:56 AM,09 AM,221.01,2000,Bronx County,360050221012000,22101,Census Tract 221.01,2000,Block 2000
XL20000477,40.89264,-73.8426,10466,P,01/10/2020,10:38 AM,10 AM,426,6002,Bronx County,360050426006002,42600,Census Tract 426,6002,Block 6002
XL20000511,40.83477,-73.92309,10452,P,01/10/2020,02:42 PM,02 PM,63,1000,Bronx County,360050063001000,6300,Census Tract 63,1000,Block 1000
QL20000357,40.75294,-73.92281,11101,M,01/11/2020,11:39 AM,11 AM,157,1007,Queens County,360810157001007,15700,Census Tract 157,1007,Block 1007
WL20000467,40.97529,-73.80916,10583,M,01/11/2020,07:40 AM,07 AM,50.02,2007,Westchester County,361190050022007,5002,Census Tract 50.02,2007,Block 2007
WL20000470,41.20883,-73.74178,10549,P,01/11/2020,09:40 AM,09 AM,131.04,1039,Westchester County,361190131041039,13104,Census Tract 131.04,1039,Block 1039
WL20000480,40.99928,-73.6722,10573,P,01/11/2020,12:37 PM,12 PM,79,6004,Westchester County,361190079006004,7900,Census Tract 79,6004,Block 6004
ML20000606,40.76764,-73.9616,10021,P,01/13/2020,11:00 AM,11 AM,126,4000,New York County,360610126004000,12600,Census Tract 126,4000,Block 4000
ML20000628,40.75525,-73.96358,10022,P,01/13/2020,03:19 PM,03 PM,86.03,1000,New York County,360610086031000,8603,Census Tract 86.03,1000,Block 1000
QL20000381,40.74795,-73.91584,11104,P,01/13/2020,07:25 AM,07 AM,169,2011,Queens County,360810169002011,16900,Census Tract 169,2011,Block 2011
QL20000384,40.74074,-73.92234,11104,M,01/13/2020,09:30 AM,09 AM,185.02,3005,Queens County,360810185023005,18502,Census Tract 185.02,3005,Block 3005
QL20000388,40.74256,-73.91772,11104,P,01/13/2020,10:05 AM,10 AM,235,2003,Queens County,360810235002003,23500,Census Tract 235,2003,Block 2003
QL20000391,40.73783,-73.7558,11364,M,01/13/2020,10:27 AM,10 AM,1291.03,2000,Queens County,360811291032000,129103,Census Tract 1291.03,2000,Block 2000
QL20000395,40.75158,-73.7146,11005,P,01/13/2020,10:56 AM,10 AM,1551.02,6000,Queens County,360811551026000,155102,Census Tract 1551.02,6000,Block 6000
QL20000396,40.72972,-73.82441,11367,P,01/13/2020,11:05 AM,11 AM,779.02,1000,Queens County,360810779021000,77902,Census Tract 779.02,1000,Block 1000
QL20000397,40.73902,-73.93566,11101,P,01/13/2020,11:10 AM,11 AM,199,1020,Queens County,360810199001020,19900,Census Tract 199,1020,Block 1020
QL20000399,40.76328,-73.77423,11361,P,01/13/2020,11:25 AM,11 AM,1129,3008,Queens County,360811129003008,112900,Census Tract 1129,3008,Block 3008
QL20000402,40.75853,-73.94157,11101,M,01/13/2020,12:13 PM,12 PM,85,1008,Queens County,360810085001008,8500,Census Tract 85,1008,Block 1008
QL20000411,40.72565,-73.79807,11366,P,01/13/2020,01:30 PM,01 PM,1247,3005,Queens County,360811247003005,124700,Census Tract 1247,3005,Block 3005
QL20000416,40.76783,-73.92766,11102,P,01/13/2020,02:22 PM,02 PM,79,1003,Queens County,360810079001003,7900,Census Tract 79,1003,Block 1003
QL20000418,40.76844,-73.92716,11102,P,01/13/2020,03:08 PM,03 PM,79,1003,Queens County,360810079001003,7900,Census Tract 79,1003,Block 1003
QL20000423,40.73589,-73.77347,11366,P,01/13/2020,04:08 PM,04 PM,1333,1000,Queens County,360811333001000,133300,Census Tract 1333,1000,Block 1000
QL20000428,40.72259,-73.80103,11366,M,01/13/2020,06:11 PM,06 PM,1265,1001,Queens County,360811265001001,126500,Census Tract 1265,1001,Block 1001
QL20000429,40.7225,-73.80099,11432,M,01/13/2020,06:29 PM,06 PM,1265,1000,Queens County,360811265001000,126500,Census Tract 1265,1000,Block 1000
WL20000520,40.98031,-73.79766,10583,M,01/13/2020,08:06 AM,08 AM,101,2010,Westchester County,361190101002010,10100,Census Tract 101,2010,Block 2010
WL20000521,40.9187,-73.87539,10705,M,01/13/2020,08:29 AM,08 AM,14.02,1017,Westchester County,361190014021017,1402,Census Tract 14.02,1017,Block 1017
WL20000524,41.15372,-73.82929,10510,P,01/13/2020,09:42 AM,09 AM,132.02,1010,Westchester County,361190132021010,13202,Census Tract 132.02,1010,Block 1010
WL20000527,40.98046,-73.79807,10583,M,01/13/2020,10:19 AM,10 AM,101,2010,Westchester County,361190101002010,10100,Census Tract 101,2010,Block 2010
WL20000529,41.01274,-73.67476,10573,M,01/13/2020,10:30 AM,10 AM,82,2005,Westchester County,361190082002005,8200,Census Tract 82,2005,Block 2005
WL20000531,40.93565,-73.86874,10701,P,01/13/2020,10:55 AM,10 AM,23,1005,Westchester County,361190023001005,2300,Census Tract 23,1005,Block 1005
WL20000533,41.12811,-73.71793,10504,M,01/13/2020,11:12 AM,11 AM,123.03,3012,Westchester County,361190123033012,12303,Census Tract 123.03,3012,Block 3012
WL20000537,40.91946,-73.87123,10704,P,01/13/2020,11:56 AM,11 AM,14.01,3011,Westchester County,361190014013011,1401,Census Tract 14.01,3011,Block 3011
